2050,1045678903,2050
1474,1045456564,1474
866,1045186593,866
1736,1045546047,1736
1009,1045266160,1009
146,1044297318,146
267,1044638749,267
77,1043987329,77
1823,1045582030,1823
211,1044448350,211
1477,1045456771,1477
1751,1045553108,1751
1190,1045344452,1190
940,1045237036,940
1938,1045615794,1938
448,1044849628,448
1268,1045365342,1268
1776,1045560663,1776
915,1045233300,915
2233,1045743020,2233
1260,1045361037,1260
1505,1045468095,1505
370,1044780959,370
470,1044861783,470
1141,1045314314,1141
1427,1045433256,1427
1381,1045415692,1381
1913,1045606939,1913
554,1044938750,554
315,1044709075,315
1257,1045360853,1257
1695,1045520156,1695
1670,1045505212,1670
1111,1045304791,1111
1613,1045489344,1613
1464,1045452503,1464
2102,1045697315,2102
823,1045154238,823
2291,1045757105,2291
1095,1045301946,1095
228,1044521948,228
604,1044970243,604
1281,1045367953,1281
2110,1045698576,2110
1562,1045480969,1562
2319,1045767117,2319
1927,1045609361,1927
14,1043402785,14
897,1045218598,897
467,1044855531,467
1160,1045327231,1160
1125,1045308478,1125
773,1045114383,773
263,1044638123,263
381,1044790439,381
1870,1045594176,1870
1657,1045504133,1657
786,1045125403,786
704,1045034546,704
1967,1045641581,1967
762,1045110355,762
375,1044789966,375
2145,1045711485,2145
2034,1045677283,2034
1072,1045298651,1072
1996,1045655586,1996
2070,1045681675,2070
1958,1045632120,1958
655,1045014297,655
1901,1045602170,1901
64,1043930362,64
876,1045188547,876
1232,1045351627,1232
128,1044269494,128
1109,1045302453,1109
1431,1045433256,1431
1692,1045516919,1692
857,1045180870,857
491,1044880223,491
168,1044363196,168
1781,1045562364,1781
11,1043402767,11
1687,1045516588,1687
192,1044407002,192
1157,1045324904,1157
1170,1045333202,1170
1647,1045495205,1647
291,1044688877,291
2220,1045738337,2220
1610,1045488593,1610
681,1045023664,681
327,1044730246,327
911,1045231642,911
2296,1045757611,2296
2283,1045756410,2283
2265,1045750612,2265
1622,1045493359,1622
355,1044771169,355
521,1044897718,521
349,1044769132,349
2275,1045754969,2275
2157,1045719451,2157
782,1045125403,782
1800,1045573947,1800
2062,1045680577,2062
1717,1045533758,1717
131,1044269494,131
2117,1045699348,2117
1864,1045593599,1864
135,1044271868,135
744,1045100798,744
240,1044553439,240
313,1044707198,313
1372,1045413526,1372
1604,1045486995,1604
407,1044813117,407
901,1045218598,901
269,1044650862,269
417,1044820175,417
422,1044831955,422
802,1045138555,802
862,1045181453,862
1599,1045486382,1599
996,1045260173,996
815,1045147623,815
1046,1045279551,1046
1082,1045299669,1082
252,1044589232,252
860,1045181453,860
1070,1045291850,1070
1601,1045486382,1601
1514,1045468544,1514
1931,1045609361,1931
1099,1045302047,1099
489,1044864943,489
1385,1045415692,1385
1581,1045481985,1581
308,1044704534,308
1925,1045609290,1925
731,1045080370,731
18,1043402785,18
1843,1045585978,1843
1941,1045615887,1941
109,1044123448,109
1024,1045269489,1024
1091,1045301946,1091
1850,1045588543,1850
1488,1045461511,1488
319,1044725095,319
2188,1045728189,2188
2196,1045728214,2196
2040,1045677572,2040
2314,1045761545,2314
629,1044999719,629
1397,1045419344,1397
1743,1045548723,1743
1999,1045655586,1999
388,1044797607,388
2206,1045731418,2206
885,1045196855,885
662,1045017350,662
1626,1045493359,1626
154,1044334640,154
833,1045165699,833
548,1044923263,548
2131,1045703148,2131
2211,1045732786,2211
699,1045033048,699
1016,1045268293,1016
1714,1045524027,1714
1663,1045504875,1663
413,1044819242,413
677,1045023344,677
836,1045165699,836
1620,1045491776,1620
635,1045001090,635
1308,1045385330,1308
1001,1045261977,1001
1993,1045655459,1993
2165,1045722507,2165
1120,1045307931,1120
1962,1045635023,1962
532,1044910123,532
1236,1045351652,1236
1904,1045602986,1904
1777,1045562364,1777
150,1044300051,150
258,1044589406,258
953,1045241431,953
890,1045212403,890
990,1045259468,990
1060,1045284904,1060
357,1044772419,357
1798,1045570669,1798
649,1045013883,649
1746,1045551724,1746
2300,1045758137,2300
304,1044704534,304
799,1045130515,799
376,1044790001,376
1247,1045354249,1247
779,1045122521,779
1805,1045577527,1805
580,1044953624,580
2192,1045728189,2192
301,1044698086,301
